head,rel,tail
P49760,i,P0DMV8
O75385,i,P62834
Q05655,i,Q92686
P50750,i,P62280
Q15759,i,P46783
P49137,i,P31431
Q13315,i,P35372
Q13627,i,P26038
P06239,i,Q12959
Q00535,i,P08473
P49841,i,P54764
P45983,i,P63328
O75582,i,Q8WXH0
P11802,i,O15294
Q9UM73,i,Q86UL8
Q06187,i,O60716
Q02156,i,P62834
Q9P1W9,i,O75955
Q13131,i,P46940
P24941,i,P61764
Q07912,i,P78352
P24941,i,Q9Y624
P24941,i,Q99439
P28482,i,P56817
Q13043,i,P46783
Q13976,i,Q9Y4G8
Q7KZI7,i,P12931
Q15139,i,Q12959
P27361,i,Q99623
P00519,i,P12931
P07948,i,P46939
PR:000029896,i,P0DMV8
O14757,i,O15143
Q9UQM7,i,O60674
Q9NRM7,i,O00560
P17252,i,Q15366
PR:000010165,i,Q05209
P53350,i,P05023
P06493,i,P12830
P45984,i,Q12959
Q00535,i,P61160
O14757,i,P07332
P17612,i,P62491
P17252,i,O15143
P28482,i,Q13501
P15056,i,Q03135
P31749,i,Q9NQX3
P12931,i,P42262
P17252,i,P61587
Q16539,i,Q13418
Q05513,i,P63101
P27361,i,P62491
P05129,i,P19022
P31751,i,Q02750
O96017,i,P04792
Q15831,i,Q8WXH0
P07948,i,P48067
P50750,i,P62745
P07332,i,O75955
Q13164,i,P11021
O75716,i,Q86UL8
P28482,i,O00560
P05771,i,O15143
P49841,i,P21333
P51812,i,Q9BR76
P27361,i,Q99828
P49137,i,Q14676
Q96GD4,i,P18206
PR:000049999,i,P06396
P41240,i,P48067
Q9UQM7,i,P07947
Q16539,i,P63328
P00533,i,Q12846
Q13976,i,Q6UVK1
Q5TCY1,i,O60674
Q13557,i,P26038
P07948,i,Q9UJU6
P24941,i,P20339
P51812,i,P0DMV8
P30291,i,P11717
Q14012,i,P41743
P06493,i,P13688
P06493,i,P20339
P53355,i,Q9Y4G8
P45983,i,P08138
Q2M2I8,i,Q86UL8
P41743,i,Q07157
P41279,i,P07947
Q8IXL6,i,Q03135
Q8TAI7,i,O75955
Q05513,i,P18206
P06239,i,Q8WXH0
P12931,i,P25054
Q05397,i,P49768
P98161,i,Q9UQB8
Q16832,i,Q9BVI0
Q02156,i,P07355
Q13153,i,Q05193
P28482,i,P12814
P27361,i,Q16625
P00519,i,Q16625
P53350,i,Q6UVK1
P24941,i,P27348
P68400,i,P16070
O14757,i,P13498
Q13131,i,P08631
A9UF07,i,Q9Y4G8
P68400,i,P27348
Q13153,i,Q00610
P17252,i,P62834
Q9UQM7,i,P63000
P31749,i,P20339
P06213,i,O60716
P45983,i,Q9Y2J2
Q16539,i,Q14511
O43353,i,P15311
P35916,i,P30050
P49841,i,P07947
Q14289,i,Q9UQB8
Q13043,i,Q14511
P53350,i,O00560
Q96GD4,i,P31431
O96017,i,P13861
P07948,i,P31749
P17252,i,Q15654
P12931,i,Q9H3Z4
P17612,i,P61764
Q96GD4,i,Q13418
Q14164,i,P61978
Q02156,i,O00560
P53667,i,P61978
P49841,i,P13688
P27361,i,P50281
Q15418,i,Q15366
Q96NX5,i,P13498
P41240,i,Q9H3Z4
P41240,i,P31146
P23443,i,P60953
O00141,i,P17655
Q13315,i,P63000
P17252,i,Q14676
P12931,i,P63104
Q13882,i,Q03135
P28482,i,Q13873
Q9H3Y6,i,P11021
Q05655,i,Q02750
P36894,i,P01137
P49840,i,P11021
Q9Y2H1,i,P40259
O14757,i,Q15366
Q13555,i,P62745
Q96RG2,i,O75955
P23443,i,P05023
P45984,i,O15511
Q13153,i,P62491
P42680,i,Q86UL8
P49841,i,P11021
O15530,i,P62491
Q14012,i,P17661
P28482,i,Q6NZI2
P06493,i,P16615
O96013,i,P05023
P53350,i,P30101
P27361,i,P06748
Q8IW41,i,P18206
Q05655,i,Q9Y624
Q683Z8,i,P62745
Q13315,i,O15511
O75582,i,P31645
P22694,i,Q8TEW0
Q13153,i,Q13393
Q9UKE5,i,P62745
P17612,i,P27348
P42684,i,P40259
P41240,i,P18206
P45983,i,Q92558
P28482,i,Q9P2Y5
P48736,i,P18206
P24941,i,P61160
Q13418,i,Q9NRD5
Q16566,i,P15311
P28482,i,Q9ULZ3
P54646,i,P04040
Q92918,i,P61978
O75116,i,P35372
P05771,i,P62834
Q9UHD2,i,P62917
Q9Y243,i,P11021
P49674,i,P06396
P06493,i,P13861
Q9BZL6,i,P27361
P15531,i,P05023
P28482,i,P63104
P00533,i,Q02297
Q15418,i,P13612
P45984,i,P17655
Q02156,i,P26038
P19525,i,P17655
P12931,i,P42858
Q08881,i,Q96NW7
Q00535,i,Q9Y2J4
Q13976,i,P18206
Q15759,i,P0DMV8
Q9UPZ9,i,P04040
O15264,i,P35372
Q8NER5,i,P13861
P25098,i,P11717
P78527,i,A0A059VC25
Q6A1A2,i,Q14118
O14757,i,Q13563
P48730,i,Q16625
P29322,i,Q86UL8
O96017,i,O60674
P48730,i,P15311
Q13535,i,P27348
P17612,i,Q16658
P12931,i,P02511
P49841,i,Q00610
P26927,i,P19022
P41240,i,Q14160
P17252,i,Q14847
P24941,i,P07947
P17252,i,P38646
P49137,i,O14974
Q00535,i,Q14247
Q7KZI7,i,P17655
P49137,i,O15143
P17612,i,Q14254
Q13627,i,P18206
Q96J92,i,P62834
P11362,i,P06396
P06493,i,P00749
Q05655,i,Q05193
P06241,i,Q05513
P27361,i,O00161
P25098,i,P35579
Q16584,i,P0DMV8
P68400,i,P11912
Q9UQM7,i,P12830
P48730,i,P31645
O14920,i,Q02750
O14920,i,P28482
P68400,i,P98082
Q92918,i,P35372
P16591,i,P46939
Q05513,i,P14416
Q16512,i,P46783
P78527,i,P01116
Q9UBE8,i,O60716
A0A173G4P4,i,Q9BR76
P17612,i,P16615
P27361,i,P22681
Q13131,i,O60716
PR:000026196,i,P06396
Q02750,i,P12814
Q00526,i,O75955
P06213,i,Q14118
O14757,i,Q6IE81
Q05513,i,Q13153
P05129,i,P28482
P31751,i,Q8WXH0
P45985,i,Q13177
Q06187,i,Q03135
Q9NYY3,i,P05023
P28482,i,P08238
Q13315,i,Q15599
P06239,i,Q14161
P43250,i,P06396
P07948,i,Q9Y4G8
P28482,i,P20591
Q15831,i,Q92974
P05771,i,O43707
P54646,i,P18206
P17612,i,P36507
Q8IWQ3,i,P11717
Q15831,i,P27348
P67870,i,P04792
Q13976,i,P26038
P06493,i,P05106
P06239,i,P61073
Q5S007,i,P04040
P41240,i,Q92785
P34947,i,P28482
Q9Y463,i,O15143
O60674,i,P25054
P29323,i,P61160
Q9P1W9,i,P27348
P53350,i,P63328
P49137,i,Q9Y4G8
P43405,i,Q8WXH0
P06213,i,P0DMV8
P49759,i,P13498
Q8TAS1,i,P04040
P45983,i,P52799
P06493,i,P15311
Q05655,i,O15511
Q99683,i,P27361
P00519,i,P06748
Q13882,i,P13498
Q96QT4,i,P17655
P16234,i,P27361
O60674,i,Q00987
Q9UQM7,i,Q14254
Q7KZI7,i,Q16625
Q16659,i,Q6UVK1
Q06187,i,P31146
Q13627,i,P27361
P51955,i,P62745
P53779,i,Q14289
P06241,i,P17655
P32298,i,P04083
P53779,i,Q8TEW0
P24941,i,P19022
Q00526,i,P17655
Q05655,i,O00161
O14757,i,P31749
P68400,i,A0A059VC25
P28482,i,Q14160
Q9HCP0,i,Q14160
Q9UBS0,i,P11021
P11802,i,Q14004
Q13131,i,Q9Y4G8
O00444,i,P27361
Q96GD4,i,P46940
P43405,i,P13861
Q9Y243,i,Q14155
Q13535,i,P00749
P31749,i,P39019
P53350,i,P63104
Q9UQM7,i,Q92974
P12931,i,O75912
O00141,i,Q14155
P49840,i,Q00610
P17612,i,O15511
P27361,i,Q92542
O95819,i,P06396
P31749,i,P61978
Q9UQM7,i,P23396
Q8TDC3,i,P04040
P07947,i,P31146
Q14012,i,Q14289
P11274,i,P61160
P00519,i,Q16643
P12931,i,Q9NQC3
P17252,i,P63328
Q13627,i,P46783
Q16539,i,P62258
P36894,i,P61073
O94768,i,P06396
Q9NYL2,i,P11021
P05771,i,Q13153
P49137,i,Q05209
Q13315,i,P39019
O60674,i,P49768
P45984,i,Q96QB1
Q9H3Y6,i,Q86UL8
Q16539,i,P46940
O14965,i,P31645
P51813,i,P11717
Q9UQM7,i,P17655
P17612,i,P42768
P23443,i,Q13418
Q13882,i,P62745
O75676,i,Q02750
P42345,i,Q08209
P51812,i,Q8TDY4
P54646,i,O60716
P00519,i,Q9UQB3
P50613,i,P50281
Q9UBE8,i,P13498
P06493,i,P12931
P05771,i,Q8TDY4
Q13627,i,P11717
P49841,i,P07948
Q13315,i,P19022
Q05513,i,Q9UK17
P53350,i,P07355
O43318,i,O60716
P24941,i,Q68EM7
O15264,i,P17655
P68400,i,P15529
P17612,i,P23396
Q13535,i,O00161
P34947,i,P17655
P11802,i,Q8WYH8
P48729,i,Q8TEW0
P06239,i,P39019
Q9BZL6,i,Q13418
P41240,i,Q9Y4G8
P53350,i,Q13153
P45983,i,Q14289
P45984,i,P07947
P53350,i,Q14160
Q00536,i,P12814
Q13177,i,Q13418
Q16566,i,Q86UL8
P42345,i,P62834
P11802,i,P27361
Q13177,i,P11717
A0A0S2Z3I6,i,P62745
Q13535,i,P35372
O75116,i,Q92542
P53355,i,Q96SB3
P54764,i,Q8TEW0
P14618,i,Q14118
Q08881,i,Q7L0J3
P42684,i,P18206
Q96GD4,i,P63104
P37023,i,Q86UL8
P08069,i,P19022
P37023,i,Q13705
P05771,i,P62280
Q15119,i,Q05513
O14757,i,Q2M1Z3
P50750,i,Q9BR76
P27361,i,P35372
Q9UEW8,i,P11912
P11802,i,O94880
Q13177,i,P63101
P27361,i,P98082
O00141,i,P31645
P45983,i,Q14160
Q13882,i,O43707
P05771,i,Q15366
O60674,i,Q13418
P68400,i,O60504
Q16539,i,P62280
P08581,i,P15311
P53779,i,P26038
Q9H2X6,i,P30101
P05129,i,P50570
Q9Y2K2,i,O00161
O43683,i,P46783
O60674,i,P17661
P49840,i,P14923
P09769,i,P50570
O75582,i,P11021
Q14289,i,Q99623
P49841,i,Q9UQB8
P06241,i,P61160
O94806,i,P06748
Q8IWQ3,i,P0DMV8
Q13315,i,Q15555
P48729,i,Q13418
Q15300,i,P13612
Q16539,i,P29350
O95835,i,Q9UQB8
Q96GD4,i,P07355
P53779,i,P06396
P05129,i,P08473
Q13177,i,Q08209
O15530,i,P61073
P05129,i,O00161
O95747,i,P0DMV8
Q13131,i,Q14160
P11362,i,Q9Y4G8
P35916,i,P49763
P06241,i,P61586
O94804,i,P04083
Q13177,i,O00560
Q13535,i,P07947
Q15418,i,Q6UVK1
Q00535,i,P20339
Q96GD4,i,Q9BR76
P24941,i,P10721
Q05513,i,P08172
P54762,i,Q14118
Q9H2X6,i,O15143
Q06187,i,P04040
O95835,i,O75955
P17612,i,Q16513
Q96PY6,i,P28482
Q13554,i,P35372
P78527,i,O60504
Q9H2X6,i,O00560
P12931,i,P49810
Q14680,i,O15511
Q8NG66,i,P61978
Q15418,i,Q05209
Q02763,i,P55072
P00533,i,Q14980
P06241,i,P04083
Q15139,i,P17655
Q13153,i,P04083
P31749,i,P48167
P17252,i,Q13153
P31751,i,Q92974
P53350,i,Q05655
Q9H4B4,i,O75955
Q15139,i,O60674
P11802,i,P13498
Q00535,i,P98082
P12931,i,Q4VCS5
P68400,i,P84098
Q9Y6E0,i,O43707
O43293,i,P26038
P42345,i,P17661
Q13315,i,P21333
O75582,i,Q14155
Q05397,i,P46939
Q8IWQ3,i,P27361
P50750,i,P06396
Q00526,i,P13861
P41743,i,P42566
Q05513,i,Q13418
Q13315,i,P23396
P24941,i,Q92784
Q99986,i,P15311
O60285,i,P35372
P30291,i,P62745
P45983,i,P05129
Q13546,i,P11717
Q05655,i,Q8WXH0
O14965,i,O75955
O43781,i,Q12959
Q99759,i,P39019
P12931,i,P63101
Q14012,i,P05129
P68400,i,Q12959
Q9Y478,i,P61978
O14965,i,O60674
P06493,i,P27348
Q15418,i,Q9BR76
O00311,i,Q16625
Q7KZI7,i,P28482
Q15759,i,P06396
P12931,i,P08172
P17252,i,Q14289
Q96BR1,i,P11021
P00558,i,P11021
Q9Y243,i,P61073
P48729,i,Q9H3Z4
P35626,i,Q15366
P49336,i,P61978
P49840,i,Q16625
O14757,i,Q14451
P17252,i,P31946
Q15835,i,P13861
P78527,i,Q8IVT2
P53350,i,P35579
P49840,i,Q05513
Q15118,i,Q15599
Q15418,i,P62258
P49840,i,Q7L0J3
P17252,i,Q15691
Q13315,i,Q9UQB8
Q15746,i,P61978
Q38SD2,i,Q9Y4G8
P78527,i,Q13045
Q99683,i,P04040
Q14164,i,P04792
P47710,i,P06396
O75116,i,Q86UL8
O95819,i,Q9UK17
O00506,i,O75955
Q00535,i,P13688
P27361,i,Q00610
P24941,i,Q8TDM6
Q13535,i,P22681
P49840,i,P50570
Q6P2M8,i,O00560
P05771,i,P31431
P49841,i,P23396
Q13233,i,P31645
P53350,i,P62834
P24723,i,P0DMV8
Q00526,i,Q14155
P52333,i,P62258
Q14164,i,P22681
Q8WTQ7,i,Q02750
P12931,i,P35241
O00141,i,O75955
Q96GD4,i,Q03135
P67870,i,P11912
P49841,i,P17655
O14965,i,O15511
Q13976,i,O43707
Q9NZJ5,i,P15311
P45984,i,P35372
P42345,i,Q9UJU6
P51812,i,Q14511
A0A0S2Z3I6,i,O00560
P54646,i,Q9Y4G8
P31751,i,O60674
Q15118,i,P04792
Q96NX5,i,P0DMV8
P06241,i,Q92542
Q13418,i,Q9UQB8
Q5S007,i,P11717
P04626,i,P27361
P24941,i,O14493
P51812,i,Q05209
Q9H4B4,i,Q02750
P49841,i,O60674
Q13882,i,Q14118
Q13882,i,Q05209
P29597,i,Q03135
O75914,i,Q14511
P16591,i,Q14118
P19784,i,O60674
O75582,i,P17655
P00519,i,P12830
P17252,i,P23458
P19784,i,P13861
Q16816,i,P0DMV8
Q13315,i,Q92974
Q9NYV4,i,P63104
P19784,i,Q13526
Q04759,i,P63244
P68400,i,P29966
P19784,i,Q14155
Q8TD19,i,Q9Y4G8
P04626,i,P62745
Q9UQM7,i,Q02750
P17612,i,Q16643
Q13188,i,O60716
P43403,i,P04083
Q9BYP7,i,Q14289
P19784,i,P06748
Q13627,i,P04040
Q13188,i,P08631
Q9BUB5,i,P08631
Q16539,i,P05023
P28482,i,Q86WV6
Q8N5S9,i,P22681
P49841,i,P61586
P36507,i,P06396
Q9HC98,i,P27361
P19784,i,P17655
P00533,i,P11021
P41240,i,P12814
Q96S44,i,P27361
Q9P1W9,i,P13861
P19784,i,P28482
P31751,i,P22681
P19525,i,P39019
P19784,i,Q8WXH0
P17612,i,Q99439
Q13315,i,P50281
Q04759,i,Q8WXH0
P24941,i,P31645
P05129,i,P63000
P49137,i,P11717
Q00537,i,Q8TEW0
Q14012,i,P52799
P19784,i,Q12959
P19784,i,Q86UL8
P00533,i,P16615
O96013,i,Q8TEW0
Q9UQ88,i,Q14160
P24941,i,P05556
P42336,i,P04040
P31749,i,Q9Y624
Q15831,i,P11021
Q92630,i,O60674
Q9BYP7,i,P08172
P54646,i,P62745
P49841,i,Q16643
Q9NYV4,i,P29350
Q92630,i,P50570
P17252,i,P17813
Q92630,i,Q8WXH0
P49674,i,P11717
Q13882,i,P0DMV8
Q04759,i,P19022
P00533,i,Q16625
P17252,i,Q96N67
P19784,i,P23396
Q9NYV4,i,Q9Y4G8
P68400,i,Q9Y490
Q13188,i,O00560
Q13627,i,O60716
P42680,i,P61978
P42679,i,P06396
Q86Z02,i,Q86UL8
P54762,i,P27361
Q04759,i,O75955
Q13188,i,P27361
P12931,i,Q14643
Q86Z02,i,P61978
Q04759,i,P61978
P19784,i,Q02750
Q7L7X3,i,P17655
P27361,i,P06702
Q04759,i,O15511
P28482,i,P07900
Q13464,i,Q9Y4G8
P12931,i,Q96SB3
P27448,i,Q12959
O75582,i,P00749
Q04759,i,P50570
P05771,i,P35241
Q04759,i,P11021
P23458,i,Q16625
O00418,i,P05023
P10721,i,P05023
Q13188,i,P52799
Q96GD4,i,Q14160
P08069,i,P54764
P24941,i,Q8IY63
P19784,i,P11021
Q02156,i,P05023
O00418,i,Q8TEW0
Q99640,i,O75955
Q04759,i,P28482
P23443,i,O15530
P12931,i,Q08209
Q16816,i,P06396
P17612,i,Q96NW7
Q02779,i,P08473
P19784,i,P61978
Q9NQU5,i,P18206
Q92630,i,O15511
Q05513,i,P42261
P48729,i,Q8TDY4
P17612,i,Q13177
O15111,i,Q12959
Q99640,i,Q8WXH0
P06213,i,P11717
Q08881,i,Q12959
Q9NYV4,i,P41743
P49841,i,P51809
P06493,i,P61764
P07948,i,P08138
P06493,i,P50281
Q9BUB5,i,P45983
O14920,i,Q12959
P09619,i,P04083
P06241,i,Q00610
P19784,i,P31645
Q13153,i,Q9UQB8
Q13315,i,P98082
Q9UQ88,i,P05023
Q9NRM7,i,P52799
P51812,i,O60716
P19784,i,P51636
Q9BYP7,i,P46939
P45984,i,P39019
P07948,i,P63101
P49674,i,P46783
Q96RR4,i,P11021
O14757,i,O43294
P54753,i,P19022
P21675,i,P61978
P51817,i,O60716
Q13535,i,Q9UQB8
Q92630,i,P22681
P12931,i,Q99836
P31749,i,P61586
Q9Y3S1,i,Q14155
P17612,i,Q9Y2I7
O14965,i,P14923
O14965,i,P23396
P19784,i,P04792
Q16539,i,P35241
Q9UQM7,i,P61160
Q13523,i,P62280
Q96GD4,i,Q14511
P22694,i,O60716
Q05655,i,P00749
P28482,i,Q86XR7
Q9BUB5,i,P06396
P19784,i,P04083
Q13555,i,O00560
P31749,i,P63073
Q13043,i,P35241
O96017,i,O00161
Q9NYY3,i,P04040
Q15418,i,P07737
Q13131,i,Q14511
P00519,i,Q00610
P53779,i,P27361
P24941,i,P62841
P11309,i,P0DMV8
P12931,i,P46940
Q7L7X3,i,O60566
P22612,i,P17655
P07949,i,P05023
Q96RR4,i,P11912
Q8N5S9,i,Q02750
Q13535,i,P12931
P53667,i,P61073
O14757,i,P29350
Q9HC98,i,O60716
Q13315,i,Q92542
Q9BUB5,i,P27361
P12931,i,Q00535
Q9UQM7,i,Q00610
Q05513,i,Q00535
Q92630,i,P28482
O14965,i,P16284
P06239,i,P11912
P24941,i,Q15599
P29323,i,P11021
Q13188,i,Q14847
P45983,i,Q9ULV4
Q16539,i,P60953
P19784,i,P61073
Q05655,i,P08473
Q99640,i,Q02750
Q9Y463,i,P31146
Q6IQ55,i,P61978
P23443,i,P12814
P24941,i,Q9UQB3
P31749,i,P17655
P06493,i,P33151
Q15759,i,P11717
Q13188,i,P35241
Q9BUB5,i,Q14160
Q04759,i,P35372
O14757,i,Q05655
P12931,i,P17661
O14965,i,Q7L0J3
Q05513,i,P55072
P28482,i,P41743
O14578,i,P13498
Q9NYV4,i,P06396
O43318,i,P27361
Q05655,i,P08195
Q13315,i,P11912
O75914,i,Q9Y4G8
Q13188,i,Q13418
P36507,i,Q8TEW0
P49841,i,P61073
Q13164,i,O75955
P31751,i,P04083
Q9BWU1,i,P06748
P41279,i,P35372
P51812,i,P56945
Q9BYP7,i,P05023
P24941,i,Q14155
P53355,i,O15143
O00418,i,P12814
P48729,i,Q92558
O00418,i,P62834
P06213,i,O00560
P08581,i,P11021
Q8TD19,i,P04040
Q16566,i,P11021
Q92630,i,P35372
Q04759,i,Q02750
O75914,i,Q9BR76
Q04759,i,Q12959
P06493,i,Q9Y624
O15111,i,P31645
P48730,i,P04083
Q04759,i,Q92974
O60674,i,P48067
Q5S007,i,Q14289
Q00535,i,Q13177
P51812,i,P30050
P17252,i,Q05655
Q13188,i,P06396
P68400,i,O60711
P17612,i,Q9Y2J4
Q99558,i,P13498
Q16816,i,P62280
O14757,i,Q15149
Q96SB4,i,P04792
P31749,i,Q07157
P00519,i,P62491
Q8TD19,i,Q8TEW0
P19784,i,Q92542
P57059,i,Q6UVK1
P06493,i,Q8TDM6
Q04759,i,Q86UL8
P17252,i,O43294
P49840,i,Q07157
P31749,i,Q05586
P19784,i,O75955
O00418,i,P13498
Q9UL54,i,Q00610
Q8N5S9,i,P28482
Q16539,i,Q05655
Q16620,i,Q9Y4G8
P19784,i,P00749
P51451,i,P06396
P28482,i,P49810
Q02156,i,O15143
Q9BUB5,i,Q8TDY4
Q6IQ55,i,P22681
Q04759,i,P08473
P22694,i,P13498
O14757,i,P11233
Q13188,i,P05023
P24941,i,Q8WXH0
Q9NYV4,i,P08138
P17252,i,P10301
Q9NRM7,i,P11717
Q9HC98,i,P62745
P31323,i,P12931
P29597,i,Q14511
P45983,i,Q96SB3
Q99558,i,O60716
Q16816,i,P27361
Q13188,i,P04040
P31749,i,O00213
P19784,i,P14923
Q05655,i,P51809
P24941,i,O15511
P53350,i,P26038
P42685,i,Q92974
P22694,i,P26038
Q683Z8,i,P05023
P42685,i,P17655
Q9BUB5,i,O60716
P68400,i,Q658W2
P22612,i,O75955
P51812,i,Q14160
Q96GD4,i,P29350
O75914,i,Q13418
Q9P1W9,i,P35372
Q14680,i,O75955
P53350,i,P62280
P28482,i,P14672
P17252,i,P62258
Q8IWU2,i,P00533
Q6SA08,i,P35241
Q92630,i,P61978
Q96L34,i,P05023
P28482,i,Q13563
Q9UKE5,i,P06396
P19784,i,Q96QB1
Q9H2X6,i,Q15366
Q9NQU5,i,Q9Y4G8
O15111,i,O75955
Q9BS79,i,P04040
P19784,i,P35372
Q99986,i,Q00610
Q8TDC3,i,P27361
P68400,i,O95819
P51812,i,Q2M1Z3
O14757,i,Q15691
Q16539,i,Q6UVK1
P17612,i,O14786
P68400,i,P31645
P27448,i,P61978
P06493,i,Q02297
Q13131,i,P35579
P68400,i,P07947
Q8IW41,i,Q15366
P68400,i,Q05397
O14965,i,Q8WX93
O75914,i,P13498
P06493,i,Q8WXH0
Q9UHD2,i,P17655
Q99558,i,P26038
P23443,i,P62745
P06241,i,Q02750
Q13188,i,Q03135
Q6P5Z2,i,P61978
O00418,i,Q14118
Q96RR4,i,P28482
P24941,i,P15529
P06239,i,P63000
Q13177,i,Q9H3Z4
P42345,i,Q14289
Q13188,i,P62258
Q8N5S9,i,P13861
Q9W0V1,i,P28482
P51812,i,Q14676
Q15759,i,P30050
Q96RR4,i,P61978
P06241,i,P61073
P51812,i,O00560
Q7KZI7,i,P35372
Q13535,i,P14923
P19784,i,O00161
Q99558,i,P62745
Q92630,i,O00161
P28482,i,P63328
Q99558,i,P27361
P24864,i,P40259
Q9H4B4,i,P17655
Q99683,i,Q2M1Z3
Q13555,i,Q14160
Q8TDX7,i,P39019
Q9BWU1,i,P19022
Q9UIG0,i,Q15366
P25098,i,P27361
P06493,i,P51636
O15530,i,Q92974
Q9HC98,i,Q14118
Q8N5S9,i,Q86UL8
Q15139,i,P50570
O96017,i,P51636
O15111,i,P06748
P11802,i,P18206
Q86Y07,i,P04040
P06493,i,P36507
P21127,i,P04040
Q15569,i,Q9Y4G8
Q8N5S9,i,P17655
PR:000000104,i,P05023
Q92630,i,Q12959
Q15569,i,Q13418
O00141,i,Q8WXH0
Q8IWQ3,i,P62745
O00418,i,P11717
Q04759,i,P04083
P27361,i,Q14980
P45983,i,O43707
Q04759,i,P11912
P17252,i,Q9ULV4
Q13188,i,Q14118
Q6P5Z2,i,P13861
O00418,i,O00560
Q13315,i,Q8WX93
P06241,i,P62491
Q14164,i,P28482
Q9HC98,i,P04040
P31749,i,P27348
O14920,i,P35372
P43405,i,P61073
P17252,i,P13796
P41240,i,Q14118
P06493,i,Q00610
Q7L7X3,i,P06748
Q05513,i,P49810
Q13177,i,Q14118
Q99558,i,P0DMV8
P22612,i,P61978
P17612,i,P13861
P23443,i,Q02241
O00418,i,P31146
Q92630,i,O75955
P45985,i,P31645
Q8N5S9,i,Q14161
P19784,i,P50281
Q9P286,i,P11717
P06213,i,P12814
Q9Y3S1,i,P35372
Q6P5Z2,i,Q86UL8
Q05513,i,P46939
Q00536,i,P04040
Q13315,i,P51636
Q9HC98,i,P06396
P17252,i,P63104
Q683Z8,i,P06396
O14920,i,Q14155
P28482,i,Q15149
P52564,i,O00161
Q9NYV4,i,P11717
P53355,i,Q92558
P41743,i,Q12846
P22694,i,O43707
Q8TD19,i,P27361
Q9NQU5,i,O43707
Q04759,i,Q7L0J3
P23458,i,P04083
Q8TD19,i,P62834
Q13557,i,O60716
Q92630,i,P51636
P48729,i,Q6UVK1
Q02750,i,Q9Y4G8
P08631,i,P38159
P11802,i,P11717
P42345,i,Q14160
P24941,i,P33151
Q99640,i,P27348
Q9NYV4,i,P31749
P06241,i,P05556
Q13131,i,Q6UVK1
P27361,i,Q96QB1
O75914,i,P06396
P29320,i,P05023
P54646,i,P05023
P10721,i,P27361
O14757,i,P19634
P52333,i,P41743
P07949,i,P04040
P06241,i,Q9UQB3
Q6IQ55,i,P11021
Q9NYV4,i,Q14118
Q13315,i,P12931
Q15569,i,O60716
P45983,i,Q02241
P68400,i,Q02952
P53350,i,P12814
P49841,i,P98082
O00506,i,Q86UL8
Q00535,i,P12830
P08069,i,P11912
P06241,i,O00161
Q15418,i,O14974
Q13153,i,P61586
Q99640,i,P11021
Q04759,i,Q14155
Q13188,i,P62745
Q05655,i,P06748
P06241,i,P51809
Q13976,i,P46783
O75385,i,P62745
Q9NQU5,i,P27361
P24941,i,Q14161
P21127,i,Q9Y4G8
Q15382,i,P11717
P28482,i,P42261
Q8N5S9,i,P61978
Q9NYV4,i,P13498
Q9NYV4,i,P27361
P19784,i,Q00610
Q9UQM7,i,P61073
Q99558,i,O14974
P43405,i,Q9Y4D2
P48729,i,P63328
Q6IQ55,i,O75955
P17612,i,Q8TDM6
Q02156,i,P08631
Q9H4B4,i,Q9UQB8
Q9NQU5,i,P0DMV8
Q8TD19,i,P06396
P49841,i,Q92542
P41743,i,O75955
P17252,i,P25054
Q9BUB5,i,Q14118
O75914,i,P62280
P48729,i,Q14289
P45984,i,P27348
P17612,i,Q13009
Q9UQM7,i,Q12846
P12931,i,O43707
P45983,i,Q05655
Q99558,i,O43707
PR:000029189,i,Q13418
P35626,i,P06396
Q15349,i,P13498
P22694,i,Q14118
Q05513,i,P27824
Q8TD19,i,P13498
Q8TDX7,i,P04083
P49841,i,P36507
P07948,i,P78352
P48730,i,O75955
P27448,i,O75955
Q99558,i,P04040
Q9H2G2,i,P04040
P23458,i,P50570
P05129,i,Q9Y624
Q92630,i,P29966
P12931,i,P49757
Q9Y3S1,i,P13861
P00533,i,P12931
Q8TD19,i,Q14160
Q13627,i,Q14511
O14730,i,Q9BR76
Q9HC98,i,P26038
Q13535,i,P12830
Q16816,i,O00560
Q2M2I8,i,P17655
P35968,i,P31146
P27361,i,Q07954
Q13555,i,P11717
P12931,i,P46109
P36507,i,Q9H3Z4
P30279,i,Q04206
P05771,i,P31146
Q9NQU5,i,Q13418
Q9BUB5,i,P62745
P09769,i,P14923
Q13188,i,O14974
P19784,i,A0A059VC25
P17252,i,Q15149
P07949,i,P06396
O14757,i,P32004
O14965,i,P07948
Q04759,i,P27348
P45985,i,Q12959
Q05655,i,P20339
Q6IQ55,i,P51636
O00418,i,Q14160
P28482,i,Q00535
Q15120,i,P35372
P51617,i,P08670
Q8IWQ3,i,P06396
Q13976,i,P31146
P45984,i,P15311
P53778,i,P07947
P31749,i,Q9Y698
P34947,i,P13861
Q00535,i,P35240
P05771,i,Q05209
Q62101,i,Q00610
Q13188,i,Q9BR76
Q16539,i,P25054
P04626,i,P13498
Q8TD19,i,O00560
P51813,i,O00560
Q04759,i,Q16625
P28482,i,O00203
Q8IVH8,i,P31146
Q92630,i,Q14161
P06241,i,O60674
P24941,i,P36507
Q9NYV4,i,O43707
Q13976,i,P62280
P24941,i,P98082
Q7L7X3,i,P13861
P31749,i,Q13393
Q13153,i,Q7L0J3
Q96RR4,i,P31645
P53350,i,P62258
